Actual_Heart_Rate,Predicted_Heart_Rate
133.0,138.88
125.0,138.64
130.0,138.6
126.0,138.53
100.0,140.08
133.0,138.97
143.0,138.96
145.0,138.87
146.0,138.86
137.0,138.96
150.0,138.52
151.0,138.42
145.0,138.42
135.0,138.81
121.0,139.07
117.0,139.18
127.0,139.15
127.0,138.78
125.0,139.03
127.0,139.41
114.0,139.73
119.0,140.01
146.0,136.9
157.0,137.59
156.0,137.42
157.0,137.44
160.0,137.31
157.0,137.43
157.0,137.53
119.0,139.2
113.0,138.86
116.0,138.56
110.0,138.26
131.0,137.28
150.0,137.43
157.0,137.56
155.0,137.02
156.0,137.78
159.0,137.47
162.0,137.27
161.0,137.68
162.0,137.48
127.0,139.0
113.0,139.72
109.0,139.02
108.0,138.98
146.0,137.23
157.0,137.25
163.0,137.33
164.0,137.44
164.0,137.65
162.0,137.86
164.0,137.83
133.0,138.85
106.0,139.71
109.0,138.8
126.0,137.6
142.0,136.99
151.0,136.98
155.0,137.19
155.0,137.39
157.0,136.98
159.0,137.19
157.0,136.79
158.0,137.28
157.0,137.28
156.0,137.17
